hotel_name,rating,total_review,hotel_star,price,facility_1,facility_2,facility_3,facility_4
Loccal Collection Hotel,4.2,-905,4-star hotel,IDR 1.93M,Pool,Spa,Free parking,Free breakfast
Sunset Hill Hotel,4.1,-277,3-star hotel,IDR 627K,Free breakfast,Free Wi-Fi,Air-conditioned,Breakfast
Plataran Komodo Resort & Spa,4.7,-562,5-star hotel,IDR 4.51M,Pool,Spa,Free parking,Free breakfast
Meruorah Komodo Labuan Bajo,4.7,-488,5-star hotel,IDR 2.93M,Pool,Spa,Free parking,Free Wi-Fi
Sylvia Beach Villa,4.2,-79,3-star hotel,IDR 569K,Pool,Free breakfast,Free Wi-Fi,Beach access
AYANA Komodo Resort,4.8,"-2,192",Resort hotel,IDR 4.39M,Pool,Spa,Free parking,Free breakfast
Boat Trip To Komodo,4.3,-10,Hotel,IDR 32.4M,Free Wi-Fi,Beach access,Wi-Fi,
Komodo Lodge,4,-276,3-star hotel,IDR 553K,Free parking,Free breakfast,Free Wi-Fi,Air-conditioned
Sylvia Resort Komodo,4.2,"-1,304",3-star hotel,IDR 588K,Pool,Free parking,Free breakfast,Free Wi-Fi
Blue Parrot Komodo,4.3,-68,2-star hotel,IDR 641K,Free parking,Free breakfast,Free Wi-Fi,Air-conditioned
Waecicu Eden Beach Hotel,3.8,-93,Hotel,IDR 893K,Beach access,Wi-Fi,Airport shuttle,Restaurant
Loccal Collection Hotel,4.2,-905,4-star hotel,IDR 1.93M,Pool,Spa,Free parking,Free breakfast
Waecicu Beach Inn,3.8,-402,2-star hotel,IDR 269K,Free breakfast,Free Wi-Fi,Beach access,Air-conditioned
Blue Marlin Dive Komodo,4.4,-408,4-star hotel,IDR 874K,Pool,Free Wi-Fi,Beach access,Air-conditioned
Golo Hilltop Hotel,4.4,-221,1-star hotel,IDR 438K,Pool,Free breakfast,Free Wi-Fi,Beach access
Dragon Dive Komodo Hotel,4.3,-226,2-star hotel,IDR 655K,Pool,Free parking,Free Wi-Fi,Air-conditioned
Seaesta Komodo Hostel & Hotel,4.6,-590,Hostel,IDR 445K,Pool,Free Wi-Fi,Air-conditioned,Wi-Fi
Exotic Komodo Hotel,4.1,-636,3-star hotel,IDR 408K,Free parking,Free Wi-Fi,Air-conditioned,Breakfast
Sunset Hill Hotel,4.1,-277,3-star hotel,IDR 627K,Free breakfast,Free Wi-Fi,Air-conditioned,Breakfast
Harbour komodo hotel,4.9,-31,Hotel,IDR 644K,Pool,Free Wi-Fi,Beach access,Wi-Fi
TRIPLE 8 SUITES,4,-67,Hotel,IDR 862K,Pool,Free Wi-Fi,Wi-Fi,
Theodor Hotel Labuan Bajo,4.7,-56,Hotel,IDR 836K,Pool,Free parking,Free Wi-Fi,Wi-Fi
Blue Parrot Komodo,4.3,-68,2-star hotel,IDR 641K,Free parking,Free breakfast,Free Wi-Fi,Air-conditioned
Sylvia Beach Villa,4.2,-79,3-star hotel,IDR 569K,Pool,Free breakfast,Free Wi-Fi,Beach access
Eco Tree O'tel,4.1,-443,3-star hotel,IDR 483K,Spa,Free Wi-Fi,Beach access,Air-conditioned
"Sudamala Resort, Komodo",4.5,-203,5-star hotel,IDR 2.62M,Pool,Free parking,Free breakfast,Free Wi-Fi
The Seraya Resort Komodo,4.7,-69,Hotel,IDR 1.76M,Pool,Free breakfast,Beach access,Air-conditioned
Mohini Resort,4.5,-77,Hotel,IDR 752K,Pool,Free parking,Free Wi-Fi,Beach access
Mohini komodo,4.5,-172,Lodging,IDR 744K,Pool,Free parking,Free Wi-Fi,Air-conditioned
Blue Ocean Hotel,4,-131,Hotel,IDR 462K,Free breakfast,Free Wi-Fi,Air-conditioned,Breakfast
Hotel Bonne Nuit,4.2,-117,3-star hotel,IDR 320K,Free breakfast,Free Wi-Fi,Air-conditioned,Breakfast
Green Prundi Hotel,4,-296,2-star hotel,IDR 303K,Free parking,Free breakfast,Free Wi-Fi,Air-conditioned
Cahaya Adrian Hotel,3.7,-76,Hotel,IDR 273K,Free breakfast,Air-conditioned,Breakfast,Wi-Fi
Siola Hotel,3.6,-239,2-star hotel,IDR 215K,Free breakfast,Free Wi-Fi,Beach access,Breakfast
World Bnb,4.4,-160,Bed & breakfast,IDR 405K,Pool,Free breakfast,Free Wi-Fi,Breakfast
Matahari Hotel,3.8,-259,Hotel,IDR 459K,Free breakfast,Free Wi-Fi,Air-conditioned,Breakfast
Tarsan Homestay,4.4,-32,Lodge,IDR 296K,Pool,Free parking,Free Wi-Fi,Air-conditioned
Golo Tango Homestay,4.8,-30,Hotel,IDR 351K,Free breakfast,Free Wi-Fi,Breakfast,Wi-Fi
Pesona Bali,4.1,-217,Seafood,IDR 298K,Free Wi-Fi,Wi-Fi,Parking,Restaurant
Bintang Flores Hotel,4.4,"-1,292",4-star hotel,IDR 1.24M,Pool,Free parking,Free breakfast,Free Wi-Fi
Manta Manta Homestay,3.8,-91,Guest house,IDR 270K,Free Wi-Fi,Air-conditioned,Wi-Fi,Pet-friendly
El Ora Inn & Eatery Labuan Bajo,4.9,-70,Hotel,IDR 338K,Free Wi-Fi,Wi-Fi,,
OYO 841 Orange Hotel,3.3,-143,Hotel,IDR 535K,Free breakfast,Air-conditioned,Breakfast,Wi-Fi
Green Prundi Hotel,4,-296,2-star hotel,IDR 303K,Free parking,Free breakfast,Free Wi-Fi,Air-conditioned
Sylvia Resort Komodo,4.2,"-1,302",3-star hotel,IDR 588K,Pool,Free parking,Free breakfast,Free Wi-Fi
Laprima Hotel,4.3,"-1,734",4-star hotel,IDR 916K,Pool,Spa,Free parking,Free breakfast
CF Komodo Hotel,3.3,-120,2-star hotel,IDR 284K,Free parking,Free Wi-Fi,Air-conditioned,Breakfast
DANKE LODGE,4.6,-134,1-star hotel,IDR 280K,Free Wi-Fi,Wi-Fi,,
de Credo RedPartner,4.5,-2,Hotel,IDR 291K,Free Wi-Fi,Wi-Fi,,
Green Hill Boutique Hotel,3.9,-262,1-star hotel,IDR 384K,Free breakfast,Free Wi-Fi,Air-conditioned,Breakfast
Mulia homestay labuan bajo RedPartner,4.2,-5,Hotel,IDR 720K,,,,
Bajo Sunset Hostel and Grill,4,-95,1-star hotel,IDR 315K,Pool,Free breakfast,Free Wi-Fi,Beach access
Bukit Sylvia,5,-3,Lodging,IDR 1.98M,Free Wi-Fi,Wi-Fi,,
The Teuz B&B,4.2,-79,Bed & breakfast,IDR 200K,Free breakfast,Free Wi-Fi,Breakfast,Wi-Fi
Wae Molas - Your Urban Oasis,4.7,-63,Hotel,IDR 693K,Pool,Spa,Free Wi-Fi,Air-conditioned
Villa Alam Flores Komodo Labuan Bajo RedPartner,4,-23,Hotel,IDR 891K,Free parking,Free Wi-Fi,Wi-Fi,
Luwansa Beach Resort,4.2,-820,4-star hotel,IDR 544K,Pool,Free parking,Free breakfast,Free Wi-Fi
PINKI MENTE HOTEL,,,Hotel,IDR 348K,,,,
de Chocolate hostel-hotel-Lounge Bar,3.8,-154,2-star hotel,IDR 455K,Free breakfast,Free Wi-Fi,Air-conditioned,Breakfast
Homestay Golo Koe Sejahtera,,,Homestay,IDR 120K,,,,
Aulya Hotel Labuhanbajo,3.6,-84,3-star hotel,IDR 450K,Free Wi-Fi,Wi-Fi,Airport shuttle,
Hotel Palm Bajo,4.4,-9,Hotel,IDR 594K,Free Wi-Fi,Wi-Fi,,
Selini on the Hill Villas & Spa,4,-180,3-star hotel,IDR 573K,Free breakfast,Free Wi-Fi,Beach access,Breakfast
Hotel KALTON,4.2,-175,2-star hotel,IDR 516K,Free parking,Free breakfast,Free Wi-Fi,Air-conditioned
Centro Bajo Hotel & Resto,4.1,-233,Hotel,IDR 486K,Free breakfast,Breakfast,Airport shuttle,Restaurant
